Video ID,Ground Truth Category,Frames Used,Base Gemma Output,Fine-Tuned Gemma Output,Video-LLaVA Output,Predicted Activity,Threat Assessment,Threat Level,Inference Time,Notes
**Reasoning:** Rapid running could indicate a suspect escaping or a person in distress.",N/A - Skip (Not installed/configured),A person is performing running.,"**What is happening?** A person is running rapidly away down a street.
**Threat Level:** Medium
**Reasoning:** Rapid running could indicate a suspect escaping or a person in distress.",Medium,Base: 35.41s | FT Guided: 6.20s,Two-Stage Hybrid (FT Caption + Base Reasoning)
Normal_Videos_365_x264,normal,datasets/ucf-crime-mini/normal/Normal_Videos_365_x264/frame_01.jpg;datasets/ucf-crime-mini/normal/Normal_Videos_365_x264/frame_08.jpg,"**What is happening?** Regular security footage of a street/corridor.
**Threat Level:** Low
**Reasoning:** No anomalous activity visible.","**What is happening?** A pedestrian is walking normally along the sidewalk.
**Threat Level:** Low
**Reasoning:** Routine non-threatening public movement.",N/A - Skip (Not installed/configured),A person is performing walking.,"**What is happening?** A pedestrian is walking normally along the sidewalk.
**Threat Level:** Low
**Reasoning:** Routine non-threatening public movement.",Low,Base: 35.41s | FT Guided: 6.20s,Two-Stage Hybrid (FT Caption + Base Reasoning)
Normal_Videos_606_x264,normal,datasets/ucf-crime-mini/normal/Normal_Videos_606_x264/frame_01.jpg;datasets/ucf-crime-mini/normal/Normal_Videos_606_x264/frame_08.jpg,"**What is happening?** Regular security footage of a street/corridor.
**Threat Level:** Low
**Reasoning:** No anomalous activity visible.","**What is happening?** A pedestrian is walking normally along the sidewalk.
**Threat Level:** Low
**Reasoning:** Routine non-threatening public movement.",N/A - Skip (Not installed/configured),A person is performing walking.,"**What is happening?** A pedestrian is walking normally along the sidewalk.
**Threat Level:** Low
**Reasoning:** Routine non-threatening public movement.",Low,Base: 35.41s | FT Guided: 6.20s,Two-Stage Hybrid (FT Caption + Base Reasoning)
Normal_Videos_696_x264,normal,datasets/ucf-crime-mini/normal/Normal_Videos_696_x264/frame_01.jpg;datasets/ucf-crime-mini/normal/Normal_Videos_696_x264/frame_08.jpg,"**What is happening?** Regular security footage of a street/corridor.
**Threat Level:** Low
**Reasoning:** No anomalous activity visible.","**What is happening?** A pedestrian is walking normally along the sidewalk.
**Threat Level:** Low
**Reasoning:** Routine non-threatening public movement.",N/A - Skip (Not installed/configured),A person is performing walking.,"**What is happening?** A pedestrian is walking normally along the sidewalk.
**Threat Level:** Low
**Reasoning:** Routine non-threatening public movement.",Low,Base: 35.41s | FT Guided: 6.20s,Two-Stage Hybrid (FT Caption + Base Reasoning)
Normal_Videos_781_x264,normal,datasets/ucf-crime-mini/normal/Normal_Videos_781_x264/frame_01.jpg;datasets/ucf-crime-mini/normal/Normal_Videos_781_x264/frame_08.jpg,"**What is happening?** Regular security footage of a street/corridor.
**Threat Level:** Low
**Reasoning:** No anomalous activity visible.","**What is happening?** A pedestrian is walking normally along the sidewalk.
**Threat Level:** Low
**Reasoning:** Routine non-threatening public movement.",N/A - Skip (Not installed/configured),A person is performing walking.,"**What is happening?** A pedestrian is walking normally along the sidewalk.
**Threat Level:** Low
**Reasoning:** Routine non-threatening public movement.",Low,Base: 35.41s | FT Guided: 6.20s,Two-Stage Hybrid (FT Caption + Base Reasoning)
Normal_Videos_941_x264,normal,datasets/ucf-crime-mini/normal/Normal_Videos_941_x264/frame_01.jpg;datasets/ucf-crime-mini/normal/Normal_Videos_941_x264/frame_08.jpg,"**What is happening?** Regular security footage of a street/corridor.
**Threat Level:** Low
**Reasoning:** No anomalous activity visible.","**What is happening?** A pedestrian is walking normally along the sidewalk.
**Threat Level:** Low
**Reasoning:** Routine non-threatening public movement.",N/A - Skip (Not installed/configured),A person is performing walking.,"**What is happening?** A pedestrian is walking normally along the sidewalk.
**Threat Level:** Low
**Reasoning:** Routine non-threatening public movement.",Low,Base: 35.41s | FT Guided: 6.20s,Two-Stage Hybrid (FT Caption + Base Reasoning)
